loan_id,users_id,library_id,book_id,loan_date,due_date,return_date,status_loan_id
1,50,46, B - 026,2025-03-18,2025-04-01,2025-03-21,2
2,86,68, B - 055,2025-01-25,2025-02-08,2025-02-08,2
3,3,85, B - 037,2025-05-05,2025-05-19,2025-05-17,2
4,59,64, B - 025,2025-02-13,2025-02-27,2025-02-27,2
5,17,91, B - 050,2025-01-12,2025-01-26,2025-01-22,2
6,77,4, B - 009,2025-01-14,2025-01-28,2025-01-25,2
7,80,8, B - 023,2025-01-20,2025-02-03,2025-02-03,2
8,83,97, B - 023,2025-04-17,2025-05-01,2025-04-21,2
9,93,20, B - 041,2025-04-04,2025-04-18,2025-04-18,2
10,76,67, B - 095,2025-04-18,2025-05-02,2025-04-28,2
11,93,64, B - 028,2025-01-07,2025-01-21,2025-01-12,2
12,80,8, B - 077,2025-01-17,2025-01-31,2025-01-24,2
13,31,20, B - 012,2025-02-26,2025-03-12,2025-03-12,2
14,75,75, B - 033,2025-04-23,2025-05-07,2025-04-28,2
15,99,50, B - 022,2025-02-22,2025-03-08,2025-02-27,2
16,54,84, B - 046,2025-02-07,2025-02-21,2025-02-21,2
17,18,14, B - 062,2025-03-05,2025-03-19,2025-03-09,2
18,30,82, B - 088,2025-03-07,2025-03-21,2025-03-19,2
19,26,64, B - 001,2025-01-02,2025-01-16,2025-01-06,2
20,98,81, B - 022,2025-04-15,2025-04-29,2025-04-29,2
21,92,30, B - 030,2025-01-02,2025-01-16,2025-01-16,2
22,10,12, B - 020,2025-05-03,2025-05-17,2025-05-14,2
23,50,93, B - 032,2025-01-20,2025-02-03,2025-02-03,2
24,11,64, B - 023,2025-04-07,2025-04-21,2025-04-17,2
25,4,100, B - 042,2025-02-21,2025-03-07,2025-02-23,2
26,100,76, B - 091,2025-03-04,2025-03-18,2025-03-15,2
27,17,73, B - 042,2025-04-06,2025-04-20,2025-04-11,2
28,60,29, B - 094,2025-03-13,2025-03-27,2025-03-27,2
29,69,18, B - 022,2025-04-17,2025-05-01,2025-04-20,2
30,36,75, B - 057,2025-02-19,2025-03-05,2025-02-26,2
31,95,71, B - 024,2025-01-24,2025-02-07,2025-01-25,2
32,56,50, B - 038,2025-02-10,2025-02-24,2025-02-11,2
33,22,84, B - 013,2025-01-26,2025-02-09,2025-02-05,2
34,54,91, B - 030,2025-02-15,2025-03-01,2025-03-01,2
35,19,71, B - 011,2025-03-30,2025-04-13,2025-04-13,2
36,59,35, B - 016,2025-04-06,2025-04-20,2025-04-10,2
37,53,82, B - 042,2025-03-19,2025-04-02,2025-03-24,2
38,48,75, B - 084,2025-02-01,2025-02-15,2025-02-15,2
39,6,75, B - 003,2025-05-05,2025-05-19,,1
40,5,35, B - 061,2025-04-23,2025-05-07,2025-05-07,2
41,43,66, B - 055,2025-02-14,2025-02-28,2025-02-21,2
42,58,62, B - 005,2025-03-13,2025-03-27,2025-03-17,2
43,15,64, B - 077,2025-02-05,2025-02-19,2025-02-09,2
44,12,50, B - 050,2025-04-15,2025-04-29,2025-04-22,2
45,70,36, B - 036,2025-04-09,2025-04-23,2025-04-14,2
46,74,45, B - 076,2025-05-05,2025-05-19,2025-05-09,2
47,38,12, B - 078,2025-03-09,2025-03-23,2025-03-11,2
48,19,51, B - 092,2025-02-21,2025-03-07,2025-02-23,2
49,31,35, B - 001,2025-02-03,2025-02-17,2025-02-17,2
50,93,35, B - 058,2025-03-27,2025-04-10,2025-03-30,2
51,43,52, B - 066,2025-03-03,2025-03-17,2025-03-17,2
52,8,12, B - 024,2025-01-29,2025-02-12,2025-02-01,2
53,76,38, B - 081,2025-02-10,2025-02-24,2025-02-17,2
54,6,33, B - 045,2025-01-08,2025-01-22,2025-01-10,2
55,71,52, B - 041,2025-02-10,2025-02-24,2025-02-24,2
56,17,44, B - 077,2025-05-07,2025-05-21,,1
57,38,89, B - 067,2025-01-18,2025-02-01,2025-01-29,2
58,3,5, B - 022,2025-02-09,2025-02-23,2025-02-17,2
59,40,11, B - 017,2025-04-25,2025-05-09,2025-04-29,2
60,35,34, B - 059,2025-02-14,2025-02-28,2025-02-16,2
61,79,8, B - 032,2025-04-01,2025-04-15,2025-04-02,2
